num_ranks,space_order,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
4,8,256,256,256,256,1,1.36,4.92,145.84,3.18,0.5383850000000002
4,8,256,256,256,256,2,1.36,4.92,145.84,3.18,0.5310080000000003
4,8,256,512,256,256,1,2.34,5.07,169.53,3.69,0.6914160000000005
4,8,256,512,256,256,2,2.34,5.07,169.53,3.69,0.693059
4,8,256,256,512,256,1,2.49,5.07,159.31,3.47,0.820704
4,8,256,256,512,256,2,2.49,5.07,159.31,3.47,0.8139039999999997
4,8,256,512,512,512,1,8.71,5.31,182.18,3.97,2.146565999999999
4,8,256,512,512,512,2,8.68,5.31,182.81,3.98,2.0904380000000002
4,8,512,256,256,256,1,2.7,4.93,146.64,3.19,1.0503619999999994
4,8,512,256,256,256,2,2.7,4.93,146.64,3.19,1.057454999999999
